block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_62451,13140,1,TO STLCC MERAMEC,89242,2_merged_2134704,2103414
b_62561,13140,1,TO STLCC MERAMEC,89242,2_merged_2134704,2103415
b_62452,13140,1,TO STLCC MERAMEC,89242,2_merged_2134704,2103416
b_62451,13140,1,TO STLCC MERAMEC,89242,2_merged_2134704,2103417
a_67117,13299B,1,TO SHREWSBURY LANSDOWNE I-44,90037,1_merged_2134699,2132458
a_67120,13299B,1,TO SHREWSBURY LANSDOWNE I-44,90037,1_merged_2134699,2132459
b_62561,13140,1,TO STLCC MERAMEC,89242,2_merged_2134704,2103412
b_62452,13140,1,TO STLCC MERAMEC,89242,2_merged_2134704,2103413
a_67120,13299B,0,TO FAIRVIEW HEIGHTS,90026,1_merged_2134699,2132454
a_67129,13299R,1,TO LAMBERT AIRPORT TERMINAL #1,90041,1_merged_2134699,2132455
a_67105,13299R,1,TO LAMBERT AIRPORT TERMINAL #1,90041,1_merged_2134699,2132456
a_67103,13299B,1,TO SHREWSBURY LANSDOWNE I-44,90037,1_merged_2134699,2132457
a_67123,13299R,0,TO SHILOH SCOTT,90033,1_merged_2134699,2132450
a_67121,13299B,0,TO FAIRVIEW HEIGHTS,90026,1_merged_2134699,2132451
a_67129,13299R,0,TO SHILOH SCOTT,90033,1_merged_2134699,2132452
a_67129,13299R,0,TO SHILOH SCOTT,90033,1_merged_2134699,2132453
a_69447,13295,1,ST CLAIR SQ - TO COLLEGE STA,90017,2_merged_2134701,2132186
a_69446,13295,1,ST CLAIR SQ - TO COLLEGE STA,90017,2_merged_2134701,2132187
a_69443,13295,1,ST CLAIR SQ - TO COLLEGE STA,90018,2_merged_2134701,2132184
a_69446,13295,1,ST CLAIR SQ - TO COLLEGE STA,90017,2_merged_2134701,2132185
a_69441,13295,0,ST CLAIR SQ - TO COLLINSVILLE TRANSIT CTR,90016,2_merged_2134701,2132182
a_69442,13295,0,ST CLAIR SQ - TO COLLINSVILLE TRANSIT CTR,90016,2_merged_2134701,2132183
a_69442,13295,0,ST CLAIR SQ - TO COLLINSVILLE TRANSIT CTR,90016,2_merged_2134701,2132180
a_69443,13295,0,ST CLAIR SQ - TO COLLINSVILLE TRANSIT CTR,90016,2_merged_2134701,2132181
a_69447,13295,1,ST CLAIR SQ - TO COLLEGE STA,90018,2_merged_2134701,2132188
a_69446,13295,1,ST CLAIR SQ - TO COLLEGE STA,90018,2_merged_2134701,2132189
b_69324,13166,0,O'FALLON FAIRVIEW HGHTS - TO SHILOH SCOTT STA - VIA ST CLAIR SQUARE,89362,1_merged_2134702,2108059
b_69321,13166,0,O'FALLON FAIRVIEW HGHTS - TO SHILOH SCOTT STA - VIA ST CLAIR SQUARE,89362,1_merged_2134702,2108058
b_69322,13166,0,O'FALLON FAIRVIEW HGHTS - TO SHILOH SCOTT STA - VIA ST CLAIR SQUARE,89362,1_merged_2134702,2108051
b_69323,13166,0,O'FALLON FAIRVIEW HGHTS - TO SHILOH SCOTT STA - VIA ST CLAIR SQUARE,89362,1_merged_2134702,2108050
b_69321,13166,0,O'FALLON FAIRVIEW HGHTS - TO SHILOH SCOTT STA - VIA ST CLAIR SQUARE,89362,1_merged_2134702,2108053
b_69325,13166,0,O'FALLON FAIRVIEW HGHTS - TO SHILOH SCOTT STA - VIA ST CLAIR SQUARE,89362,1_merged_2134702,2108052
b_69323,13166,0,O'FALLON FAIRVIEW HGHTS - TO SHILOH SCOTT STA - VIA ST CLAIR SQUARE,89362,1_merged_2134702,2108055
b_69324,13166,0,O'FALLON FAIRVIEW HGHTS - TO SHILOH SCOTT STA - VIA ST CLAIR SQUARE,89362,1_merged_2134702,2108054
b_69325,13166,0,O'FALLON FAIRVIEW HGHTS - TO SHILOH SCOTT STA - VIA ST CLAIR SQUARE,89362,1_merged_2134702,2108057
b_69322,13166,0,O'FALLON FAIRVIEW HGHTS - TO SHILOH SCOTT STA - VIA ST CLAIR SQUARE,89362,1_merged_2134702,2108056
a_69125,13286,0,CAHOKIA - TO 5TH & MO - VIA AIRPORT,89977,3_merged_2134700,2130966
a_69123,13286,0,CAHOKIA - TO 5TH & MO - VIA AIRPORT,89977,3_merged_2134700,2130967
a_69125,13286,0,CAHOKIA - TO 5TH & MO - VIA AIRPORT,89977,3_merged_2134700,2130964
a_69126,13286,0,CAHOKIA - TO 5TH & MO - VIA AIRPORT,89977,3_merged_2134700,2130965
a_69125,13286,0,CAHOKIA - TO 5TH & MO VIA WATER ST,89978,3_merged_2134700,2130962
a_69126,13286,0,CAHOKIA - TO 5TH & MO VIA WATER ST,89978,3_merged_2134700,2130963
a_69125,13286,0,CAHOKIA - TO 5TH & MO VIA WATER ST,89978,3_merged_2134700,2130960
a_69126,13286,0,CAHOKIA - TO 5TH & MO VIA WATER ST,89978,3_merged_2134700,2130961
a_69124,13286,0,CAHOKIA - TO 5TH & MO - VIA AIRPORT,89977,3_merged_2134700,2130968
a_69123,13286,0,CAHOKIA - TO 5TH & MO - VIA AIRPORT,89977,3_merged_2134700,2130969
b_62807,13209,0,TO BALLAS TC,89521,2_merged_2134704,2114565
b_62452,13140,1,TO STLCC MERAMEC,89242,2_merged_2134704,2103410
b_62451,13140,1,TO STLCC MERAMEC,89242,2_merged_2134704,2103411
b_62561,13140,1,TO STLCC MERAMEC,89242,2_merged_2134704,2103418
b_62452,13140,1,TO STLCC MERAMEC,89242,2_merged_2134704,2103419
b_67107,13174R,0,TO SHILOH SCOTT,89397,2_merged_2134704,2109012
b_67109,13174B,0,TO FAIRVIEW HEIGHTS,89390,2_merged_2134704,2109013
b_67110,13174R,0,TO SHILOH SCOTT,89397,2_merged_2134704,2109010
b_67112,13174B,0,TO FAIRVIEW HEIGHTS,89390,2_merged_2134704,2109011
b_67101,13174R,0,TO SHILOH SCOTT,89397,2_merged_2134704,2109016
b_67103,13174B,0,TO FAIRVIEW HEIGHTS,89390,2_merged_2134704,2109017
b_67104,13174R,0,TO SHILOH SCOTT,89397,2_merged_2134704,2109014
b_67106,13174B,0,TO FAIRVIEW HEIGHTS,89390,2_merged_2134704,2109015
b_67104,13174R,0,TO FAIRVIEW HEIGHTS,89393,2_merged_2134704,2109019
a_65784,13282,1,TO CLAYTON STA,89963,1_merged_2134699,2130034
a_65785,13282,1,TO CLAYTON STA,89963,1_merged_2134699,2130035
a_65782,13282,1,TO CLAYTON STA,89963,1_merged_2134699,2130036
a_65783,13282,1,TO CLAYTON STA,89963,1_merged_2134699,2130037
a_65784,13282,0,TO 14TH & SPRUCE,89961,1_merged_2134699,2130030
a_65784,13282,0,TO 14TH & SPRUCE,89961,1_merged_2134699,2130031
a_65783,13282,1,TO CLAYTON STA,89963,1_merged_2134699,2130032
a_65781,13282,1,TO CLAYTON STA,89963,1_merged_2134699,2130033
a_65782,13282,1,TO CLAYTON STA,89963,1_merged_2134699,2130038
a_65783,13282,1,TO CLAYTON STA,89963,1_merged_2134699,2130039
a_62392,13257,1,TO NCTC,89827,2_merged_2134701,2126060
a_62391,13257,1,TO NCTC,89827,2_merged_2134701,2126061
a_62393,13257,1,TO NCTC,89827,2_merged_2134701,2126062
a_62392,13257,1,TO NCTC,89827,2_merged_2134701,2126063
a_62391,13257,1,TO NCTC,89827,2_merged_2134701,2126064
a_62393,13257,0,TO CLAYTON STA,89826,3_merged_2134700,2126065
a_62393,13257,0,TO CLAYTON STA,89826,3_merged_2134700,2126066
a_62393,13257,0,TO CLAYTON STA,89826,3_merged_2134700,2126067
a_62393,13257,0,TO CLAYTON STA,89826,3_merged_2134700,2126068
a_62392,13257,0,TO CLAYTON STA,89826,3_merged_2134700,2126069
a_65781,13282,0,TO 14TH & SPRUCE,89961,2_merged_2134701,2130081
a_65785,13282,0,TO 14TH & SPRUCE,89961,2_merged_2134701,2130080
a_65783,13282,0,TO 14TH & SPRUCE,89961,2_merged_2134701,2130083
a_65784,13282,0,TO 14TH & SPRUCE,89961,2_merged_2134701,2130082
a_65785,13282,0,TO 14TH & SPRUCE,89961,2_merged_2134701,2130085
a_65782,13282,0,TO 14TH & SPRUCE,89961,2_merged_2134701,2130084
a_65784,13282,0,TO 14TH & SPRUCE,89959,2_merged_2134701,2130087
a_65781,13282,0,TO 14TH & SPRUCE,89961,2_merged_2134701,2130086
a_65714,13278,0,TO RIVERVIEW TC VIA FOREST PARK,89927,2_merged_2134701,2129269
a_65712,13278,0,TO RIVERVIEW TC VIA FOREST PARK,89927,2_merged_2134701,2129268
a_65713,13278,0,TO RIVERVIEW TC VIA FOREST PARK,89927,2_merged_2134701,2129263
a_65716,13278,1,TO CATALAN LOOP VIA FOREST PARK,89932,1_merged_2134699,2129262
a_65720,13278,1,TO CATALAN LOOP VIA FOREST PARK,89932,1_merged_2134699,2129261
a_65714,13278,1,TO CATALAN LOOP VIA FOREST PARK,89929,1_merged_2134699,2129260
a_65716,13278,0,TO RIVERVIEW TC VIA FOREST PARK,89927,2_merged_2134701,2129267
a_65715,13278,0,TO RIVERVIEW TC,89925,2_merged_2134701,2129266
a_65714,13278,0,TO RIVERVIEW TC VIA FOREST PARK,89927,2_merged_2134701,2129265
a_65716,13278,0,TO RIVERVIEW TC VIA FOREST PARK,89927,2_merged_2134701,2129264
b_67106,13174R,1,TO LAMBERT AIRPORT TERMINAL #1,89405,1_merged_2134702,2108833
b_67117,13174B,1,TO SHREWSBURY LANSDOWNE I-44,89401,1_merged_2134702,2108832
b_67126,13174R,1,TO LAMBERT AIRPORT TERMINAL #1,89405,1_merged_2134702,2108831
b_67103,13174B,1,TO SHREWSBURY LANSDOWNE I-44,89401,1_merged_2134702,2108830
b_67125,13174B,1,TO SHREWSBURY LANSDOWNE I-44,89401,1_merged_2134702,2108837
b_67112,13174R,1,TO LAMBERT AIRPORT TERMINAL #1,89405,1_merged_2134702,2108836
b_67130,13174R,1,TO LAMBERT AIRPORT TERMINAL #1,89405,1_merged_2134702,2108835
b_67120,13174B,1,TO SHREWSBURY LANSDOWNE I-44,89401,1_merged_2134702,2108834
b_62801,13209,0,TO BALLAS TC,89521,2_merged_2134704,2114577
b_62802,13209,0,TO BALLAS TC,89521,2_merged_2134704,2114576
b_62801,13209,0,TO BALLAS TC,89521,2_merged_2134704,2114575
b_62803,13209,0,TO BALLAS TC,89521,2_merged_2134704,2114574
b_62801,13209,0,TO BALLAS TC,89521,2_merged_2134704,2114573
b_62804,13209,0,TO BALLAS TC,89521,2_merged_2134704,2114572
b_62805,13209,0,TO BALLAS TC,89521,2_merged_2134704,2114571
b_62804,13209,0,TO BALLAS TC,89521,2_merged_2134704,2114570
b_62807,13209,1,TO HANLEY STA,89522,2_merged_2134704,2114579
b_62802,13209,0,TO BALLAS TC,89521,2_merged_2134704,2114578
a_65542,13265,0,TO ROCK ROAD STA,89875,1_merged_2134699,2127089
