route_long_name,route_type,route_text_color,agency_id,route_id,route_color,route_short_name
Taylor,3,000000,,13243,FFFFFF,18
Oakville,3,000000,,13242,FFFFFF,17
City Limits,3,000000,,13241,FFFFFF,16
Botanical Garden,3,000000,,13240,FFFFFF,14
Dorsett-Lackland,3,000000,,13247,FFFFFF,33
ML King-Chouteau,3,000000,,13246,FFFFFF,32
Soulard,3,000000,,13245,FFFFFF,30
Watson Rd,3,000000,,13244,FFFFFF,21
19th & Central - ML King,3,000000,,13162,FFFFFF,4
Rosemont-Fairmont City,3,000000,,13163,FFFFFF,6
Rock Road,3,000000,,13249,FFFFFF,35
Earth City,3,000000,,13248,FFFFFF,34
OFallon-Fairview Heights,3,000000,,13166,FFFFFF,12
Caseyville-Marybelle,3,000000,,13167,FFFFFF,13
Alta Sita,3,000000,,13164,FFFFFF,8
Washington Park,3,000000,,13165,FFFFFF,9
Berkeley-Florissant,3,000000,,13199,FFFFFF,39
Hazelwood,3,000000,,13198,FFFFFF,38
Forest Park Trolley,3,000000,,13319,FFFFFF,3
Delmar,3,000000,,13157,FFFFFF,97
Kingshighway,3,000000,,13156,FFFFFF,95
Olive,3,000000,,13154,FFFFFF,91
Hampton,3,000000,,13153,FFFFFF,90
Green Line,3,000000,,13314,FFFFFF,GL
Metrolink Station Shuttle,3,000000,,13311,FFFFFF,12X
Waterloo-Columbia,3,000000,,13310,FFFFFF,2X
Scott AFB-East Base Shuttle,3,000000,,13313,FFFFFF,21X
Lebanon - Mascoutah,3,000000,,13312,FFFFFF,17X
South Lindbergh,3,000000,,13258,FFFFFF,48
North Lindbergh,3,000000,,13259,FFFFFF,49
Lee,3,000000,,13254,FFFFFF,41
Sarah,3,000000,,13255,FFFFFF,42
Tesson Ferry,3,000000,,13256,FFFFFF,46
Clayton-NCTC,3,000000,,13257,FFFFFF,47
Hanley-Graham,3,000000,,13250,FFFFFF,37
Hazelwood,3,000000,,13251,FFFFFF,38
Berkeley-Florissant,3,000000,,13252,FFFFFF,39
Broadway,3,000000,,13253,FFFFFF,40
Grand,3,000000,,13148,FFFFFF,70
Kirkwood-Webster,3,000000,,13140,FFFFFF,56
Dogtown,3,000000,,13143,FFFFFF,59
Chambers Rd,3,000000,,13144,FFFFFF,61
I-55 Express,3,000000,,13178,FFFFFF,40X
Clayton-Chesterfield,3,000000,,13308,FFFFFF,258
Eureka Express,3,000000,,13309,FFFFFF,410X
North Express,3,000000,,13306,FFFFFF,174X
Fenton-Gravois Bluffs,3,000000,,13307,FFFFFF,210
Twin Oaks Express,3,000000,,13304,FFFFFF,58X
Affton,3,000000,,13305,FFFFFF,110
I-55 Express,3,000000,,13302,FFFFFF,40X
Clayton Rd,3,000000,,13303,FFFFFF,57X
Downtown Trolley,3,000000,,13228,FFFFFF,99
MetroLink Blue Line,2,FFFFFF,,13299B,333399,MLB
